Model,Best_Val_Score,Best_Epoch,Test_Acc,ROC_AUC,F1,Precision,Recall
MedGCN,0.9761908401614284,187,0.9676409363746643,0.9701472448787316,0.7753623188405797,0.8294573643410853,0.7278911564625851
MedGCN_RelAtt,0.9834597040479394,169,0.9723381996154785,0.9819875943593944,0.7854251012145749,0.97,0.6598639455782312
GAT,0.8905810505075211,160,0.924843430519104,0.887422464746215,0.05263157894736842,0.8,0.027210884353741496
R-GCN,0.9840788186376422,189,0.9739039540290833,0.9777152240206427,0.8134328358208955,0.9008264462809917,0.7414965986394558
