Model,Best_Val_Acc,Best_Val_Epoch,Test_Acc,ROC_AUC
GCN,0.9258872866630554,176,0.9279749393463135,0.8302799921551436
MRA,0.9321503043174744,194,0.9326722621917725,0.8469868444834123
